"store_code","datetime","staff_id","register_number","product_code","quantity","payment_method","customer_segment_code","customer_segment_name"
"AO-1","2024-11-28T10:30:26.506Z","5","2","11","2","2","A5","ウェルネス志向層"
"AO-1","2025-10-20T20:07:25.372Z","3","3","16","12","2","3","コスパ重視層"
"AO-1","2024-05-04T01:33:49.682Z","9","4","15","","","1","ライフスタイル充実層"
"AO-1","2025-02-20T00:41:53.256Z","8","1","19","9","3","1","ライフスタイル充実層"
"AO-1","2025-05-24T10:18:43.805Z","10","2","14","3","3","2","ファミリーサポート層"
"AO-1","2025-12-26T03:25:29.958Z","5","5","19","7","2","3","コスパ重視層"
"AO-1","2024-10-23T13:53:41.201Z","10","4","16","2","3","3","コスパ重視層"
"AO-1","2024-09-08T01:36:08.277Z","4","1","17","11","3","A5","ウェルネス志向層"
"AO-1","2025-04-18T05:05:50.597Z","10","2","17","11","3","1","ライフスタイル充実層"
"AO-1","2024-07-23T02:06:13.558Z","10","4","12","8","3","1","ライフスタイル充実層"
"AO-1","2024-08-07T08:18:33.729Z","9","4","13","4","1","4","自己投資志向層"
"AO-1","2025-03-08T05:24:03.065Z","4","2","10","12","2","1","ライフスタイル充実層"
"AO-1","2024-07-21T02:25:32.210Z","3","4","18","15","3","4","自己投資志向層"
"AO-1","2024-05-25T22:27:40.155Z","6","2","14","13","2","A5","ウェルネス志向層"
"AO-1","2024-08-22T01:21:27.759Z","7","2","11","3","1","4","自己投資志向層"
"AO-1","2025-02-09T15:45:57.252Z","2","3","17","3","3","4","自己投資志向層"
"AO-1","2025-11-03T04:49:39.931Z","6","5","14","18","1","A5","ウェルネス志向層"
"AO-1","2025-07-13T08:54:04.677Z","6","4","11","5","1","3","コスパ重視層"
"AO-1","2025-10-06T14:10:18.459Z","2","2","19","8","1","1","ライフスタイル充実層"
"AO-1","2025-05-03T16:47:20.089Z","7","3","19","20","1","A5","ウェルネス志向層"
"AO-1","2024-04-18T10:57:04.541Z","3","1","17","9","3","A5","ウェルネス志向層"
"AO-1","2025-03-07T12:50:46.193Z","9","2","13","11","2","3","コスパ重視層"
"AO-1","2025-04-01T00:03:46.829Z","1","4","17","1","2","1","ライフスタイル充実層"
"AO-1","2024-06-04T22:29:40.288Z","3","2","12","7","1","4","自己投資志向層"
"AO-1","2024-10-30T01:42:10.073Z","1","5","10","14","2","1","ライフスタイル充実層"
"AO-1","2025-06-13T11:46:33.600Z","7","3","19","14","3","A5","ウェルネス志向層"
"AO-1","2024-08-06T15:01:47.195Z","6","2","12","6","2","2","ファミリーサポート層"
"AO-1","2024-01-09T03:15:57.923Z","6","4","13","10","2","2","ファミリーサポート層"
"AO-1","2025-02-22T07:29:32.344Z","4","4","14","","","1","ライフスタイル充実層"
"AO-1","2024-12-28T22:58:12.984Z","7","2","16","5","3","2","ファミリーサポート層"
"AO-1","2024-10-23T14:33:39.223Z","3","2","17","5","3","3","コスパ重視層"
"AO-1","2024-03-11T09:39:30.205Z","6","1","18","8","3","3","コスパ重視層"
"AO-1","2025-11-22T01:06:54.729Z","8","5","19","16","2","A5","ウェルネス志向層"
"AO-1","2025-09-02T04:08:34.871Z","1","4","10","5","1","2","ファミリーサポート層"
